Folder,Dialogue_ID,Utterance_ID,Emotion,Emotion_Guess
dev,0,0,sad,hap
dev,100,0,neu,hap
dev,101,0,sad,hap
dev,102,0,neu,hap
dev,102,1,neu,neu
dev,103,0,neu,hap
dev,103,1,sad,hap
dev,103,2,hap,neu
dev,103,3,neu,hap
dev,103,4,hap,neu
dev,104,0,hap,hap
dev,104,14,hap,hap
dev,104,15,ang,hap
dev,104,1,sad,hap
dev,104,2,hap,neu
dev,104,3,neu,neu
dev,104,5,ang,neu
dev,104,6,hap,neu
dev,104,7,hap,hap
dev,105,0,neu,hap
dev,105,10,ang,hap
dev,105,11,ang,hap
dev,105,1,neu,neu
dev,105,2,ang,hap
dev,105,3,ang,hap
dev,105,4,hap,hap
dev,105,5,neu,hap
dev,105,6,neu,hap
dev,105,7,neu,hap
dev,105,8,hap,hap
dev,105,9,hap,hap
dev,106,0,neu,hap
dev,106,1,neu,hap
dev,106,2,neu,hap
dev,106,3,neu,hap
dev,106,4,hap,hap
dev,106,5,neu,hap
dev,107,0,neu,hap
dev,107,1,neu,hap
dev,108,10,hap,hap
dev,108,11,hap,hap
dev,108,13,neu,hap
dev,108,14,neu,hap
dev,108,3,ang,hap
dev,108,4,ang,neu
dev,108,5,ang,hap
dev,108,6,ang,hap
dev,108,8,sad,hap
dev,108,9,neu,hap
dev,109,0,neu,hap
dev,109,1,hap,hap
dev,109,3,sad,hap
dev,109,4,ang,hap
dev,109,5,neu,hap
dev,109,6,neu,neu
dev,109,7,neu,hap
dev,10,0,neu,neu
dev,10,1,neu,hap
dev,10,3,hap,hap
dev,10,4,ang,hap
dev,10,5,ang,neu
dev,10,6,ang,neu
dev,10,7,ang,hap
dev,10,8,neu,hap
dev,10,9,neu,hap
dev,110,0,neu,hap
dev,110,1,neu,hap
dev,110,2,neu,hap
dev,110,3,neu,hap
dev,110,4,neu,hap
dev,110,5,hap,hap
dev,110,6,hap,hap
dev,110,8,hap,hap
dev,110,9,hap,hap
dev,111,0,ang,hap
dev,111,1,neu,hap
dev,111,2,neu,hap
dev,112,0,ang,hap
dev,112,1,sad,hap
dev,112,2,neu,hap
dev,112,3,sad,hap
dev,112,4,neu,neu
dev,113,0,neu,hap
dev,113,10,sad,hap
dev,113,11,sad,hap
dev,113,12,sad,hap
dev,113,13,sad,hap
dev,113,1,sad,neu
dev,113,2,neu,neu
dev,113,3,sad,neu
dev,113,4,neu,hap
dev,113,5,neu,hap
dev,113,7,neu,hap
dev,113,8,sad,hap
dev,113,9,sad,hap
dev,11,0,neu,hap
dev,11,10,ang,hap
dev,11,11,neu,neu
dev,11,12,ang,hap
dev,11,1,neu,hap
dev,11,2,neu,neu
dev,11,4,ang,hap
dev,11,6,neu,hap
dev,11,8,ang,hap
dev,11,9,neu,neu
dev,12,0,neu,hap
dev,12,1,neu,neu
dev,12,2,neu,neu
dev,12,4,sad,hap
dev,13,0,neu,neu
dev,13,16,hap,hap
dev,13,17,neu,hap
dev,13,18,hap,hap
dev,13,1,ang,hap
dev,13,20,hap,neu
dev,13,21,hap,hap
dev,13,2,hap,hap
dev,13,3,hap,hap
dev,13,4,hap,hap
dev,13,8,hap,hap
dev,13,9,hap,hap
dev,14,0,hap,neu
dev,14,1,neu,hap
dev,14,2,neu,hap
dev,14,3,neu,neu
dev,14,4,ang,hap
dev,14,5,sad,neu
dev,14,6,sad,hap
dev,14,7,sad,hap
dev,14,8,ang,hap
dev,15,0,hap,hap
dev,15,1,hap,neu
dev,15,3,neu,hap
dev,15,5,neu,neu
dev,16,0,neu,hap
dev,16,10,sad,neu
dev,16,11,ang,hap
dev,16,12,ang,hap
dev,16,13,neu,hap
dev,16,14,sad,neu
dev,16,15,neu,hap
dev,16,16,ang,neu
dev,16,17,ang,hap
dev,16,18,sad,hap
dev,16,1,sad,hap
dev,16,3,hap,hap
dev,16,4,ang,hap
dev,16,5,neu,neu
dev,16,6,ang,hap
dev,16,7,ang,hap
dev,16,8,neu,hap
dev,17,0,ang,hap
dev,17,1,ang,hap
dev,17,2,ang,hap
dev,17,3,ang,hap
dev,17,4,ang,hap
dev,18,0,neu,neu
dev,18,10,ang,hap
dev,18,11,neu,hap
dev,18,13,ang,hap
dev,18,1,neu,neu
dev,18,2,neu,hap
dev,18,3,neu,hap
dev,18,9,neu,hap
dev,19,0,neu,neu
dev,19,10,sad,neu
dev,19,11,neu,hap
dev,19,12,neu,hap
dev,19,13,ang,hap
dev,19,14,sad,hap
dev,19,15,neu,hap
dev,19,16,hap,hap
dev,19,17,neu,hap
dev,19,18,sad,hap
dev,19,19,hap,hap
dev,19,1,ang,hap
dev,19,20,sad,hap
dev,19,21,hap,hap
dev,19,22,sad,neu
dev,19,2,ang,neu
dev,19,3,ang,hap
dev,19,4,ang,hap
dev,19,5,ang,hap
dev,19,6,ang,neu
dev,19,7,ang,neu
dev,19,8,neu,hap
dev,19,9,ang,hap
dev,1,0,neu,hap
dev,1,11,ang,hap
dev,1,12,neu,hap
dev,1,13,hap,hap
dev,1,14,neu,hap
dev,1,15,neu,neu
dev,1,1,hap,hap
dev,1,2,sad,hap
dev,1,3,neu,hap
dev,1,4,neu,hap
dev,1,5,hap,neu
dev,1,6,neu,hap
dev,1,8,neu,neu
dev,1,9,neu,hap
dev,20,0,neu,hap
dev,20,1,neu,hap
dev,20,2,hap,hap
dev,20,3,neu,hap
dev,21,0,neu,hap
dev,21,1,neu,hap
dev,21,2,neu,hap
dev,21,3,neu,hap
dev,21,4,neu,hap
dev,21,5,neu,hap
dev,22,0,neu,hap
dev,22,10,neu,neu
dev,22,1,neu,neu
dev,22,2,neu,hap
dev,22,4,neu,neu
dev,22,5,neu,hap
dev,22,6,ang,neu
dev,22,7,neu,neu
dev,22,8,neu,neu
dev,22,9,neu,hap
dev,23,0,neu,hap
dev,23,10,sad,neu
dev,23,11,sad,hap
dev,23,12,sad,hap
dev,23,13,sad,neu
dev,23,1,sad,hap
dev,23,2,sad,hap
dev,23,4,sad,hap
dev,23,7,sad,hap
dev,23,8,neu,hap
dev,24,0,neu,hap
dev,24,1,neu,neu
dev,24,2,sad,hap
dev,24,3,neu,hap
dev,24,4,hap,hap
dev,24,5,neu,neu
dev,24,6,neu,neu
dev,24,7,ang,neu
dev,25,0,ang,hap
dev,25,2,ang,hap
dev,25,3,ang,hap
dev,25,4,sad,hap
dev,25,5,ang,hap
dev,26,0,neu,hap
dev,26,10,sad,hap
dev,26,11,sad,hap
dev,26,12,ang,hap
dev,26,13,ang,hap
dev,26,14,ang,hap
dev,26,15,ang,hap
dev,26,16,sad,hap
dev,26,3,neu,hap
dev,26,4,neu,hap
dev,26,5,neu,hap
dev,26,7,sad,hap
dev,26,8,ang,hap
dev,26,9,sad,hap
dev,27,1,neu,hap
dev,27,3,sad,hap
dev,27,4,neu,hap
dev,27,6,ang,neu
dev,27,7,neu,hap
dev,28,0,neu,hap
dev,28,10,neu,hap
dev,28,1,sad,hap
dev,28,2,hap,hap
dev,28,3,neu,hap
dev,28,4,neu,hap
dev,28,5,sad,hap
dev,28,6,sad,neu
dev,28,7,hap,hap
dev,28,9,neu,hap
dev,29,0,ang,hap
dev,29,10,hap,hap
dev,29,1,neu,hap
dev,29,2,sad,hap
dev,29,3,sad,hap
dev,29,4,neu,hap
dev,29,5,neu,neu
dev,29,6,neu,hap
dev,29,7,neu,hap
dev,29,8,ang,hap
dev,29,9,ang,hap
dev,2,0,neu,hap
dev,2,4,hap,hap
dev,2,5,neu,hap
dev,30,10,hap,hap
dev,30,11,neu,hap
dev,30,12,neu,hap
dev,30,13,ang,hap
dev,30,14,ang,hap
dev,30,15,ang,hap
dev,30,16,ang,hap
dev,30,17,ang,hap
dev,30,18,neu,neu
dev,30,3,sad,hap
dev,30,4,ang,hap
dev,30,6,neu,hap
dev,30,7,neu,hap
dev,30,8,hap,hap
dev,30,9,hap,hap
dev,31,0,sad,hap
dev,31,10,hap,hap
dev,31,11,ang,hap
dev,31,12,hap,hap
dev,31,2,sad,hap
dev,31,3,neu,hap
dev,31,4,neu,hap
dev,31,5,sad,hap
dev,31,6,hap,neu
dev,31,7,hap,hap
dev,31,8,hap,hap
dev,31,9,hap,hap
dev,32,0,neu,hap
dev,32,10,neu,hap
dev,32,11,neu,hap
dev,32,12,neu,neu
dev,32,13,neu,neu
dev,32,1,neu,neu
dev,32,3,neu,neu
dev,32,4,neu,hap
dev,32,5,neu,hap
dev,32,6,neu,hap
dev,32,7,neu,hap
dev,32,8,neu,hap
dev,32,9,ang,hap
dev,33,0,sad,hap
dev,33,1,neu,hap
dev,34,0,neu,hap
dev,34,10,hap,neu
dev,34,1,neu,neu
dev,34,2,neu,hap
dev,34,3,neu,hap
dev,34,4,neu,hap
dev,34,5,neu,neu
dev,34,8,sad,hap
dev,34,9,neu,hap
dev,35,0,neu,neu
dev,36,1,neu,hap
dev,36,2,neu,neu
dev,36,3,neu,neu
dev,36,4,neu,hap
dev,36,5,sad,hap
dev,36,7,neu,neu
dev,36,8,neu,neu
dev,37,0,neu,hap
dev,37,10,neu,hap
dev,38,0,ang,hap
dev,39,0,neu,hap
dev,39,1,hap,hap
dev,39,2,hap,hap
dev,3,0,neu,hap
dev,3,1,hap,hap
dev,40,10,hap,hap
dev,40,1,neu,hap
dev,40,3,neu,neu
dev,40,6,ang,neu
dev,40,7,neu,hap
dev,40,9,sad,hap
dev,41,0,neu,hap
dev,41,1,neu,neu
dev,41,2,neu,hap
dev,42,0,ang,neu
dev,42,1,ang,neu
dev,42,2,neu,neu
dev,42,3,neu,neu
dev,42,4,ang,neu
dev,43,0,neu,neu
dev,43,1,neu,neu
dev,44,0,sad,hap
dev,44,10,hap,neu
dev,44,11,neu,hap
dev,44,1,ang,hap
dev,44,2,neu,hap
dev,44,3,neu,hap
dev,44,4,neu,hap
dev,44,5,hap,hap
dev,44,6,neu,hap
dev,44,7,hap,neu
dev,44,8,neu,neu
dev,44,9,neu,neu
dev,45,0,neu,hap
dev,45,10,neu,neu
dev,45,1,neu,neu
dev,45,2,neu,hap
dev,45,4,neu,neu
dev,45,5,neu,hap
dev,45,6,neu,hap
dev,45,7,neu,hap
dev,45,8,neu,hap
dev,46,0,neu,neu
dev,46,1,neu,hap
dev,46,2,neu,neu
dev,46,3,neu,neu
dev,46,6,neu,hap
dev,46,7,neu,hap
dev,46,9,neu,hap
dev,47,0,neu,hap
dev,47,10,neu,hap
dev,47,1,neu,hap
dev,47,2,neu,hap
dev,47,3,neu,neu
dev,47,4,neu,hap
dev,47,6,hap,hap
dev,47,8,neu,hap
dev,48,0,neu,hap
dev,48,1,hap,hap
dev,48,2,hap,hap
dev,48,4,neu,hap
dev,48,5,neu,hap
dev,48,7,sad,hap
dev,49,0,ang,hap
dev,49,10,ang,hap
dev,49,11,ang,hap
dev,49,12,neu,neu
dev,49,13,ang,hap
dev,49,14,neu,hap
dev,49,2,ang,hap
dev,49,3,ang,hap
dev,49,6,ang,hap
dev,49,7,ang,hap
dev,49,8,neu,hap
dev,49,9,ang,neu
dev,4,0,neu,hap
dev,4,10,neu,hap
dev,4,14,neu,neu
dev,4,1,neu,neu
dev,4,3,neu,hap
dev,4,4,neu,hap
dev,4,5,neu,hap
dev,4,6,ang,hap
dev,4,7,neu,hap
dev,4,8,neu,hap
dev,50,2,ang,neu
dev,50,3,neu,hap
dev,51,0,neu,hap
dev,51,1,hap,hap
dev,51,2,neu,neu
dev,51,3,neu,hap
dev,51,4,neu,hap
dev,51,5,neu,hap
dev,51,6,ang,hap
dev,52,0,neu,hap
dev,52,1,hap,hap
dev,52,2,neu,hap
dev,53,0,hap,neu
dev,53,1,neu,neu
dev,53,2,hap,neu
dev,53,3,neu,hap
dev,53,4,neu,neu
dev,53,5,neu,neu
dev,53,6,neu,hap
dev,53,7,hap,neu
dev,53,8,hap,neu
dev,54,0,neu,hap
dev,54,10,sad,hap
dev,54,12,neu,neu
dev,54,1,neu,hap
dev,54,2,hap,hap
dev,54,3,neu,hap
dev,54,4,neu,hap
dev,54,6,neu,neu
dev,54,7,neu,hap
dev,54,8,sad,hap
dev,55,0,sad,hap
dev,56,0,ang,hap
dev,56,10,sad,hap
dev,56,11,sad,hap
dev,56,12,sad,neu
dev,56,13,sad,hap
dev,56,14,neu,neu
dev,56,15,neu,hap
dev,56,16,sad,hap
dev,56,1,sad,hap
dev,56,2,sad,hap
dev,56,3,neu,hap
dev,56,4,sad,neu
dev,56,5,ang,hap
dev,56,6,ang,hap
dev,56,7,sad,hap
dev,56,8,sad,hap
dev,56,9,sad,hap
dev,57,0,neu,hap
dev,57,10,neu,hap
dev,57,11,neu,hap
dev,57,12,hap,hap
dev,57,1,neu,hap
dev,57,2,neu,hap
dev,57,3,hap,hap
dev,57,4,hap,hap
dev,57,5,hap,neu
dev,57,7,neu,hap
dev,57,8,neu,hap
dev,57,9,neu,hap
dev,58,0,neu,hap
dev,58,10,neu,hap
dev,58,11,hap,hap
dev,58,2,neu,hap
dev,58,3,neu,neu
dev,58,5,hap,hap
dev,58,7,hap,neu
dev,58,8,neu,neu
dev,58,9,neu,hap
dev,59,0,neu,hap
dev,59,1,neu,hap
dev,59,2,neu,hap
dev,59,3,neu,hap
dev,59,4,neu,neu
dev,5,0,ang,hap
dev,5,10,ang,hap
dev,5,11,ang,neu
dev,5,12,ang,neu
dev,5,2,ang,hap
dev,5,3,ang,hap
dev,5,4,ang,hap
dev,5,5,ang,hap
dev,5,6,ang,hap
dev,5,7,ang,hap
dev,5,8,ang,hap
dev,5,9,ang,neu
dev,60,1,neu,hap
dev,60,2,ang,hap
dev,60,3,hap,hap
dev,60,4,neu,hap
dev,60,5,hap,neu
dev,60,6,hap,hap
dev,61,0,hap,neu
dev,61,1,hap,hap
dev,61,2,neu,neu
dev,61,3,neu,neu
dev,61,4,neu,hap
dev,61,5,hap,hap
dev,62,0,neu,hap
dev,62,1,hap,hap
dev,62,3,neu,hap
dev,62,4,neu,neu
dev,62,5,neu,hap
dev,63,0,hap,hap
dev,63,10,hap,hap
dev,63,11,hap,neu
dev,63,13,neu,hap
dev,63,14,neu,hap
dev,63,15,neu,hap
dev,63,16,neu,neu
dev,63,17,neu,neu
dev,63,18,neu,hap
dev,63,19,neu,hap
dev,63,1,neu,hap
dev,63,20,neu,neu
dev,63,2,ang,hap
dev,63,3,hap,hap
dev,63,4,hap,hap
dev,63,5,sad,neu
dev,63,6,neu,neu
dev,63,7,neu,hap
dev,63,8,sad,hap
dev,64,1,hap,hap
dev,64,2,neu,neu
dev,64,3,neu,hap
dev,64,4,neu,hap
dev,65,0,hap,neu
dev,65,10,hap,hap
dev,65,1,neu,hap
dev,65,2,hap,neu
dev,65,3,neu,hap
dev,65,5,hap,neu
dev,65,6,neu,hap
dev,65,7,neu,hap
dev,65,8,neu,hap
dev,66,11,neu,neu
dev,66,1,neu,hap
dev,66,2,neu,hap
dev,66,4,ang,hap
dev,66,5,sad,hap
dev,66,6,neu,hap
dev,66,7,neu,neu
dev,66,8,neu,hap
dev,67,0,hap,hap
dev,67,10,neu,hap
dev,67,1,hap,neu
dev,67,2,neu,hap
dev,67,3,hap,hap
dev,67,4,hap,hap
dev,67,5,neu,hap
dev,67,6,neu,neu
dev,67,7,neu,hap
dev,67,8,neu,hap
dev,68,0,hap,neu
dev,68,10,hap,hap
dev,68,11,neu,hap
dev,68,1,neu,hap
dev,68,2,neu,hap
dev,68,4,neu,hap
dev,68,5,sad,hap
dev,68,8,sad,neu
dev,68,9,hap,hap
dev,69,0,hap,neu
dev,69,10,neu,neu
dev,69,11,sad,hap
dev,69,12,neu,hap
dev,69,13,sad,neu
dev,69,14,sad,hap
dev,69,15,neu,neu
dev,69,16,sad,hap
dev,69,17,sad,hap
dev,69,19,sad,hap
dev,69,1,sad,hap
dev,69,2,neu,hap
dev,69,3,neu,neu
dev,69,4,hap,hap
dev,69,5,neu,hap
dev,69,6,neu,neu
dev,69,7,neu,neu
dev,69,8,neu,hap
dev,69,9,neu,hap
dev,6,0,hap,neu
dev,6,1,neu,hap
dev,6,2,neu,hap
dev,6,3,neu,neu
dev,6,5,sad,hap
dev,6,6,neu,hap
dev,6,7,neu,hap
dev,70,0,ang,neu
dev,70,1,neu,neu
dev,70,2,hap,neu
dev,70,3,hap,neu
dev,70,4,hap,hap
dev,71,0,hap,hap
dev,71,1,neu,neu
dev,71,4,hap,hap
dev,71,5,neu,hap
dev,72,0,ang,hap
dev,72,10,ang,hap
dev,72,11,ang,hap
dev,72,12,ang,hap
dev,72,13,ang,hap
dev,72,14,ang,hap
dev,72,15,neu,hap
dev,72,16,ang,hap
dev,72,17,neu,hap
dev,72,18,ang,neu
dev,72,1,sad,hap
dev,72,2,ang,hap
dev,72,3,neu,hap
dev,72,4,neu,hap
dev,72,6,ang,hap
dev,72,7,ang,hap
dev,72,8,neu,neu
dev,72,9,ang,hap
dev,73,0,ang,hap
dev,73,1,ang,neu
dev,73,2,ang,hap
dev,74,0,hap,neu
dev,74,11,neu,hap
dev,74,12,neu,hap
dev,74,13,neu,hap
dev,74,14,neu,hap
dev,74,15,neu,hap
dev,74,16,neu,hap
dev,74,17,hap,hap
dev,74,18,neu,neu
dev,74,19,ang,neu
dev,74,1,neu,hap
dev,74,2,hap,neu
dev,74,3,sad,neu
dev,74,5,neu,hap
dev,74,6,neu,hap
dev,74,7,neu,hap
dev,74,9,sad,hap
dev,75,0,neu,hap
dev,76,0,hap,neu
dev,76,10,ang,hap
dev,76,11,ang,hap
dev,76,12,neu,hap
dev,76,15,neu,hap
dev,76,16,neu,neu
dev,76,2,neu,neu
dev,76,3,neu,hap
dev,76,4,hap,neu
dev,76,5,neu,hap
dev,76,6,hap,hap
dev,76,7,hap,hap
dev,76,8,hap,hap
dev,76,9,ang,hap
dev,77,10,sad,hap
dev,77,11,neu,hap
dev,77,12,sad,hap
dev,77,13,sad,neu
dev,77,14,sad,hap
dev,77,15,neu,neu
dev,77,16,sad,hap
dev,77,17,neu,neu
dev,77,18,neu,hap
dev,77,19,neu,hap
dev,77,2,neu,hap
dev,77,3,hap,neu
dev,77,4,neu,hap
dev,77,5,neu,neu
dev,77,6,neu,hap
dev,77,7,neu,hap
dev,77,8,sad,neu
dev,77,9,neu,hap
dev,78,0,hap,hap
dev,78,1,neu,hap
dev,78,2,neu,neu
dev,78,3,ang,neu
dev,78,4,hap,hap
dev,78,6,neu,neu
dev,78,8,ang,hap
dev,79,0,hap,hap
dev,79,10,sad,hap
dev,79,2,neu,neu
dev,79,3,neu,neu
dev,79,4,hap,hap
dev,79,5,hap,hap
dev,79,6,neu,hap
dev,79,7,sad,neu
dev,79,8,neu,hap
dev,79,9,neu,hap
dev,7,0,hap,hap
dev,7,10,hap,hap
dev,7,1,hap,hap
dev,7,2,neu,hap
dev,7,3,neu,hap
dev,7,5,hap,hap
dev,7,7,ang,hap
dev,7,9,hap,hap
dev,80,0,neu,hap
dev,80,1,neu,hap
dev,80,2,neu,neu
dev,80,3,neu,hap
dev,80,5,neu,hap
dev,80,6,neu,neu
dev,80,7,hap,hap
dev,80,8,neu,neu
dev,80,9,neu,hap
dev,81,0,hap,hap
dev,81,1,neu,hap
dev,81,2,hap,neu
dev,82,0,hap,hap
dev,82,10,neu,hap
dev,82,11,neu,neu
dev,82,12,neu,hap
dev,82,13,hap,hap
dev,82,15,neu,hap
dev,82,16,neu,hap
dev,82,17,neu,hap
dev,82,18,ang,hap
dev,82,1,ang,hap
dev,82,2,neu,hap
dev,82,3,ang,hap
dev,82,4,neu,hap
dev,82,5,ang,hap
dev,82,7,neu,hap
dev,82,8,ang,hap
dev,82,9,neu,hap
dev,83,0,ang,hap
dev,83,2,hap,hap
dev,83,4,neu,hap
dev,83,5,neu,hap
dev,83,6,neu,neu
dev,83,7,hap,hap
dev,84,2,neu,hap
dev,84,4,sad,hap
dev,84,5,sad,hap
dev,84,6,neu,hap
dev,84,7,neu,hap
dev,85,0,neu,neu
dev,85,10,ang,hap
dev,85,12,neu,neu
dev,85,13,neu,hap
dev,85,15,neu,hap
dev,85,1,hap,hap
dev,85,2,neu,neu
dev,85,3,neu,hap
dev,85,4,hap,hap
dev,85,7,hap,neu
dev,85,9,hap,hap
dev,86,0,neu,hap
dev,86,1,neu,hap
dev,86,2,neu,hap
dev,86,3,neu,hap
dev,87,0,neu,hap
dev,87,1,neu,hap
dev,87,2,neu,hap
dev,87,3,neu,hap
dev,87,4,hap,hap
dev,88,1,neu,hap
dev,88,3,sad,hap
dev,88,4,ang,hap
dev,88,5,neu,hap
dev,89,10,neu,hap
dev,89,1,ang,neu
dev,89,3,neu,hap
dev,89,4,neu,hap
dev,89,5,sad,hap
dev,89,6,sad,hap
dev,89,7,sad,neu
dev,89,8,hap,hap
dev,89,9,neu,hap
dev,8,0,neu,hap
dev,8,10,neu,neu
dev,8,11,neu,hap
dev,8,12,neu,hap
dev,8,13,neu,hap
dev,8,14,hap,hap
dev,8,1,neu,neu
dev,8,2,neu,hap
dev,8,3,neu,hap
dev,8,4,neu,hap
dev,8,5,neu,hap
dev,8,6,neu,hap
dev,8,7,hap,hap
dev,8,8,neu,hap
dev,8,9,neu,hap
dev,90,0,hap,hap
dev,90,1,neu,hap
dev,90,3,neu,hap
dev,90,4,neu,hap
dev,90,5,ang,hap
dev,90,6,sad,hap
dev,91,1,neu,hap
dev,91,2,neu,hap
dev,91,3,neu,hap
dev,91,4,ang,hap
dev,91,7,neu,hap
dev,91,9,neu,hap
dev,92,11,ang,hap
dev,92,2,hap,neu
dev,92,8,ang,hap
dev,92,9,ang,hap
dev,93,0,sad,neu
dev,93,1,neu,hap
dev,93,2,neu,hap
dev,93,3,sad,hap
dev,93,4,neu,hap
dev,93,5,neu,hap
dev,93,6,sad,hap
dev,93,7,sad,neu
dev,94,0,neu,hap
dev,94,10,neu,hap
dev,94,11,ang,neu
dev,94,1,hap,hap
dev,94,3,neu,hap
dev,94,4,neu,hap
dev,94,5,hap,hap
dev,94,6,neu,hap
dev,94,8,neu,hap
dev,94,9,ang,hap
dev,95,0,ang,hap
dev,95,10,neu,hap
dev,95,1,neu,hap
dev,95,2,ang,hap
dev,95,3,neu,hap
dev,95,4,neu,hap
dev,95,6,ang,hap
dev,95,8,ang,hap
dev,95,9,neu,hap
dev,96,0,neu,hap
dev,96,1,neu,hap
dev,96,3,hap,hap
dev,97,0,hap,hap
dev,97,11,hap,hap
dev,97,13,neu,hap
dev,97,15,neu,hap
dev,97,17,neu,hap
dev,97,19,neu,neu
dev,97,1,hap,hap
dev,97,20,hap,hap
dev,97,21,neu,neu
dev,97,2,neu,hap
dev,97,3,hap,hap
dev,97,4,hap,hap
dev,97,5,hap,hap
dev,97,6,neu,hap
dev,97,7,hap,hap
dev,97,9,hap,hap
dev,98,0,ang,neu
dev,98,2,ang,hap
dev,98,3,hap,hap
dev,98,4,ang,neu
dev,99,0,hap,hap
dev,99,1,neu,hap
dev,99,2,hap,hap
dev,99,4,hap,hap
dev,99,7,neu,hap
dev,99,8,neu,hap
dev,9,0,neu,neu
dev,9,1,sad,hap
dev,9,2,neu,hap
dev,9,3,hap,hap
dev,9,4,neu,hap
dev,9,5,neu,hap
dev,9,6,neu,hap
dev,9,7,neu,hap
test,0,1,ang,hap
test,0,2,neu,neu
test,100,0,neu,hap
test,100,10,sad,hap
test,100,11,neu,hap
test,100,12,neu,neu
test,100,13,neu,hap
test,100,16,neu,hap
test,100,17,neu,hap
test,100,19,sad,hap
test,100,1,neu,hap
test,100,2,neu,hap
test,100,3,neu,hap
test,100,4,neu,hap
test,100,5,sad,hap
test,100,6,sad,hap
test,100,7,neu,hap
test,100,8,neu,neu
test,100,9,neu,hap
test,101,0,hap,hap
test,101,1,neu,hap
test,101,2,sad,hap
test,101,3,neu,hap
test,102,0,ang,neu
test,102,1,neu,hap
test,102,3,neu,hap
test,102,4,ang,hap
test,102,5,sad,hap
test,102,6,ang,hap
test,102,7,sad,hap
test,102,8,neu,hap
test,102,9,hap,hap
test,103,0,hap,neu
test,103,1,neu,hap
test,103,4,ang,hap
test,104,0,hap,hap
test,104,2,neu,neu
test,105,0,ang,neu
test,105,2,ang,hap
test,106,0,ang,hap
test,106,1,neu,hap
test,106,3,sad,hap
test,107,0,neu,neu
test,107,10,neu,neu
test,107,11,neu,neu
test,107,1,neu,neu
test,107,2,hap,hap
test,107,3,sad,hap
test,107,4,neu,neu
test,107,5,hap,hap
test,107,6,sad,hap
test,107,7,sad,hap
test,107,8,neu,hap
test,107,9,neu,hap
test,108,3,ang,hap
test,108,4,ang,hap
test,108,5,hap,hap
test,108,6,hap,hap
test,108,9,hap,hap
test,109,0,hap,hap
test,109,1,hap,hap
test,109,2,ang,hap
test,109,3,neu,neu
test,109,5,ang,hap
test,109,6,neu,neu
test,10,0,ang,neu
test,10,1,neu,hap
test,10,2,neu,hap
test,10,3,neu,hap
test,110,1,neu,hap
test,110,2,neu,hap
test,110,4,hap,hap
test,110,5,neu,hap
test,110,6,sad,hap
test,110,7,hap,hap
test,111,0,neu,hap
test,111,10,ang,neu
test,111,11,neu,hap
test,111,12,neu,hap
test,111,14,neu,hap
test,111,1,neu,hap
test,111,2,hap,hap
test,111,3,ang,hap
test,111,4,sad,hap
test,111,5,ang,hap
test,111,6,sad,hap
test,111,7,sad,neu
